year	country	bug	drug	metric	value
2012	Denmark	Acinetobacter spp.	Aminoglycosides	n_res	8
2012	Estonia	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Greece	Acinetobacter spp.	Aminoglycosides	n_res	964
2012	Spain	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Finland	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	France	Acinetobacter spp.	Aminoglycosides	n_res	36
2012	Croatia	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Hungary	Acinetobacter spp.	Aminoglycosides	n_res	280
2012	Ireland	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Iceland	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Italy	Acinetobacter spp.	Aminoglycosides	n_res	195
2012	Lithuania	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Luxembourg	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Latvia	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Malta	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Netherlands	Acinetobacter spp.	Aminoglycosides	n_res	1
2012	Norway	Acinetobacter spp.	Aminoglycosides	n_res	1
2012	Poland	Acinetobacter spp.	Aminoglycosides	n_res	148
2012	Portugal	Acinetobacter spp.	Aminoglycosides	n_res	110
2012	Romania	Acinetobacter spp.	Aminoglycosides	n_res	31
2012	Sweden	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Slovenia	Acinetobacter spp.	Aminoglycosides	n_res	5
2012	Slovakia	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	United Kingdom	Acinetobacter spp.	Aminoglycosides	n_res	3
2013	Austria	Acinetobacter spp.	Aminoglycosides	n_res	5
2013	Belgium	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_res	53
2013	Cyprus	Acinetobacter spp.	Aminoglycosides	n_res	20
2013	Czech Republic	Acinetobacter spp.	Aminoglycosides	n_res	14
2013	Germany	Acinetobacter spp.	Aminoglycosides	n_res	11
2013	Denmark	Acinetobacter spp.	Aminoglycosides	n_res	1
2013	Estonia	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	Greece	Acinetobacter spp.	Aminoglycosides	n_res	667
2013	Spain	Acinetobacter spp.	Aminoglycosides	n_res	53
2013	Finland	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	France	Acinetobacter spp.	Aminoglycosides	n_res	46
2013	Croatia	Acinetobacter spp.	Aminoglycosides	n_res	95
2013	Hungary	Acinetobacter spp.	Aminoglycosides	n_res	299
2013	Ireland	Acinetobacter spp.	Aminoglycosides	n_res	1
2013	Iceland	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	Italy	Acinetobacter spp.	Aminoglycosides	n_res	373
2013	Lithuania	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	Luxembourg	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	Latvia	Acinetobacter spp.	Aminoglycosides	n_res	0
2013	Malta	Acinetobacter spp.	Aminoglycosides	n_res	0
