year	region	bug	drug	n_isolates	pct_resistant
2012	Pacific	Klebsiella pneumoniae	Aminoglycosides	279	16
1999	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	664	6
2000	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1000	8
2001	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1076	13
2002	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1200	10
2003	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1121	13
2004	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1207	16
2005	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1297	17
2006	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1059	19
2007	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	921	17
2008	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	1007	20
2009	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	880	23
2010	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	783	22
2011	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	783	23
2012	South Atlantic	Klebsiella pneumoniae	Aminoglycosides	408	26
1999	West North Central	Klebsiella pneumoniae	Aminoglycosides	129	8
2000	West North Central	Klebsiella pneumoniae	Aminoglycosides	156	10
2001	West North Central	Klebsiella pneumoniae	Aminoglycosides	198	9
2002	West North Central	Klebsiella pneumoniae	Aminoglycosides	223	6
2003	West North Central	Klebsiella pneumoniae	Aminoglycosides	339	13
2004	West North Central	Klebsiella pneumoniae	Aminoglycosides	357	21
2005	West North Central	Klebsiella pneumoniae	Aminoglycosides	326	23
2006	West North Central	Klebsiella pneumoniae	Aminoglycosides	236	19
2007	West North Central	Klebsiella pneumoniae	Aminoglycosides	313	15
2008	West North Central	Klebsiella pneumoniae	Aminoglycosides	233	9
2009	West North Central	Klebsiella pneumoniae	Aminoglycosides	267	7
2010	West North Central	Klebsiella pneumoniae	Aminoglycosides	247	8
2011	West North Central	Klebsiella pneumoniae	Aminoglycosides	236	18
2012	West North Central	Klebsiella pneumoniae	Aminoglycosides	104	11
1999	West South Central	Klebsiella pneumoniae	Aminoglycosides	513	5
2000	West South Central	Klebsiella pneumoniae	Aminoglycosides	470	4
2001	West South Central	Klebsiella pneumoniae	Aminoglycosides	446	8
2002	West South Central	Klebsiella pneumoniae	Aminoglycosides	558	9
2003	West South Central	Klebsiella pneumoniae	Aminoglycosides	463	9
2004	West South Central	Klebsiella pneumoniae	Aminoglycosides	511	7
2005	West South Central	Klebsiella pneumoniae	Aminoglycosides	447	5
2006	West South Central	Klebsiella pneumoniae	Aminoglycosides	518	7
2007	West South Central	Klebsiella pneumoniae	Aminoglycosides	473	9
2008	West South Central	Klebsiella pneumoniae	Aminoglycosides	442	6
2009	West South Central	Klebsiella pneumoniae	Aminoglycosides	441	12
2010	West South Central	Klebsiella pneumoniae	Aminoglycosides	305	12
2011	West South Central	Klebsiella pneumoniae	Aminoglycosides	266	8
2012	West South Central	Klebsiella pneumoniae	Aminoglycosides	212	12
1999	East North Central	Klebsiella pneumoniae	Carbapenems	610	0
2000	East North Central	Klebsiella pneumoniae	Carbapenems	630	0
2001	East North Central	Klebsiella pneumoniae	Carbapenems	558	0
2002	East North Central	Klebsiella pneumoniae	Carbapenems	545	0
2003	East North Central	Klebsiella pneumoniae	Carbapenems	551	0
2004	East North Central	Klebsiella pneumoniae	Carbapenems	797	0
2005	East North Central	Klebsiella pneumoniae	Carbapenems	675	0
2006	East North Central	Klebsiella pneumoniae	Carbapenems	547	0
2007	East North Central	Klebsiella pneumoniae	Carbapenems	485	2
2008	East North Central	Klebsiella pneumoniae	Carbapenems	555	13
2009	East North Central	Klebsiella pneumoniae	Carbapenems	548	16
2010	East North Central	Klebsiella pneumoniae	Carbapenems	562	17
2011	East North Central	Klebsiella pneumoniae	Carbapenems	499	17
2012	East North Central	Klebsiella pneumoniae	Carbapenems	157	17
1999	East South Central	Klebsiella pneumoniae	Carbapenems	264	0
2000	East South Central	Klebsiella pneumoniae	Carbapenems	213	0
2001	East South Central	Klebsiella pneumoniae	Carbapenems	192	0
2002	East South Central	Klebsiella pneumoniae	Carbapenems	216	0
2003	East South Central	Klebsiella pneumoniae	Carbapenems	251	0
2004	East South Central	Klebsiella pneumoniae	Carbapenems	246	0
2005	East South Central	Klebsiella pneumoniae	Carbapenems	290	0
2006	East South Central	Klebsiella pneumoniae	Carbapenems	139	0
2007	East South Central	Klebsiella pneumoniae	Carbapenems	47	0
2008	East South Central	Klebsiella pneumoniae	Carbapenems	51	0
2009	East South Central	Klebsiella pneumoniae	Carbapenems	54	0
2010	East South Central	Klebsiella pneumoniae	Carbapenems	38	0
1999	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	235	0
2000	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	478	0
2001	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	665	0
2002	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	623	0
2003	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	612	0
2004	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	786	2
2005	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	786	6
2006	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	741	7
2007	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	539	7
2008	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	600	15
2009	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	362	9
2010	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	315	11
2011	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	283	11
2012	Mid Atlantic	Klebsiella pneumoniae	Carbapenems	148	17
1999	Mountain	Klebsiella pneumoniae	Carbapenems	115	0
2000	Mountain	Klebsiella pneumoniae	Carbapenems	136	0
2001	Mountain	Klebsiella pneumoniae	Carbapenems	81	0
2002	Mountain	Klebsiella pneumoniae	Carbapenems	80	0
2003	Mountain	Klebsiella pneumoniae	Carbapenems	81	0
2004	Mountain	Klebsiella pneumoniae	Carbapenems	141	0
2005	Mountain	Klebsiella pneumoniae	Carbapenems	115	0
2006	Mountain	Klebsiella pneumoniae	Carbapenems	96	0
2007	Mountain	Klebsiella pneumoniae	Carbapenems	75	7
2010	Mountain	Klebsiella pneumoniae	Carbapenems	30	0
1999	New England	Klebsiella pneumoniae	Carbapenems	34	0
2001	New England	Klebsiella pneumoniae	Carbapenems	30	0
2002	New England	Klebsiella pneumoniae	Carbapenems	43	0
2003	New England	Klebsiella pneumoniae	Carbapenems	45	0
2004	New England	Klebsiella pneumoniae	Carbapenems	113	0
2005	New England	Klebsiella pneumoniae	Carbapenems	201	0
2006	New England	Klebsiella pneumoniae	Carbapenems	237	0
2007	New England	Klebsiella pneumoniae	Carbapenems	256	0
2008	New England	Klebsiella pneumoniae	Carbapenems	218	1
2009	New England	Klebsiella pneumoniae	Carbapenems	125	2
2010	New England	Klebsiella pneumoniae	Carbapenems	144	0
2011	New England	Klebsiella pneumoniae	Carbapenems	135	2
2012	New England	Klebsiella pneumoniae	Carbapenems	67	1
1999	Pacific	Klebsiella pneumoniae	Carbapenems	281	0
2000	Pacific	Klebsiella pneumoniae	Carbapenems	398	0
2001	Pacific	Klebsiella pneumoniae	Carbapenems	446	0
2002	Pacific	Klebsiella pneumoniae	Carbapenems	468	0
2003	Pacific	Klebsiella pneumoniae	Carbapenems	543	0
2004	Pacific	Klebsiella pneumoniae	Carbapenems	646	0
2005	Pacific	Klebsiella pneumoniae	Carbapenems	695	0
2006	Pacific	Klebsiella pneumoniae	Carbapenems	657	0
2007	Pacific	Klebsiella pneumoniae	Carbapenems	674	0
2008	Pacific	Klebsiella pneumoniae	Carbapenems	681	0
2009	Pacific	Klebsiella pneumoniae	Carbapenems	674	1
2010	Pacific	Klebsiella pneumoniae	Carbapenems	663	1
2011	Pacific	Klebsiella pneumoniae	Carbapenems	527	1
2012	Pacific	Klebsiella pneumoniae	Carbapenems	278	5
1999	South Atlantic	Klebsiella pneumoniae	Carbapenems	422	0
2000	South Atlantic	Klebsiella pneumoniae	Carbapenems	746	0
2001	South Atlantic	Klebsiella pneumoniae	Carbapenems	873	0
2002	South Atlantic	Klebsiella pneumoniae	Carbapenems	962	0
2003	South Atlantic	Klebsiella pneumoniae	Carbapenems	908	0
2004	South Atlantic	Klebsiella pneumoniae	Carbapenems	1078	0
2005	South Atlantic	Klebsiella pneumoniae	Carbapenems	1215	0
2006	South Atlantic	Klebsiella pneumoniae	Carbapenems	1030	0
2007	South Atlantic	Klebsiella pneumoniae	Carbapenems	906	1
2008	South Atlantic	Klebsiella pneumoniae	Carbapenems	991	1
2009	South Atlantic	Klebsiella pneumoniae	Carbapenems	846	4
2010	South Atlantic	Klebsiella pneumoniae	Carbapenems	775	4
2011	South Atlantic	Klebsiella pneumoniae	Carbapenems	597	9
2012	South Atlantic	Klebsiella pneumoniae	Carbapenems	306	14
1999	West North Central	Klebsiella pneumoniae	Carbapenems	129	0
2000	West North Central	Klebsiella pneumoniae	Carbapenems	153	0
2001	West North Central	Klebsiella pneumoniae	Carbapenems	191	0
2002	West North Central	Klebsiella pneumoniae	Carbapenems	223	0
2003	West North Central	Klebsiella pneumoniae	Carbapenems	300	0
2004	West North Central	Klebsiella pneumoniae	Carbapenems	327	0
2005	West North Central	Klebsiella pneumoniae	Carbapenems	300	0
2006	West North Central	Klebsiella pneumoniae	Carbapenems	225	0
2007	West North Central	Klebsiella pneumoniae	Carbapenems	297	3
2008	West North Central	Klebsiella pneumoniae	Carbapenems	205	3
2009	West North Central	Klebsiella pneumoniae	Carbapenems	237	3
2010	West North Central	Klebsiella pneumoniae	Carbapenems	219	2
2011	West North Central	Klebsiella pneumoniae	Carbapenems	202	6
2012	West North Central	Klebsiella pneumoniae	Carbapenems	89	4
1999	West South Central	Klebsiella pneumoniae	Carbapenems	498	0
2000	West South Central	Klebsiella pneumoniae	Carbapenems	455	0
2001	West South Central	Klebsiella pneumoniae	Carbapenems	423	0
2002	West South Central	Klebsiella pneumoniae	Carbapenems	537	0
2003	West South Central	Klebsiella pneumoniae	Carbapenems	442	0
2004	West South Central	Klebsiella pneumoniae	Carbapenems	482	0
2005	West South Central	Klebsiella pneumoniae	Carbapenems	419	0
2006	West South Central	Klebsiella pneumoniae	Carbapenems	486	0
2007	West South Central	Klebsiella pneumoniae	Carbapenems	453	0
2008	West South Central	Klebsiella pneumoniae	Carbapenems	426	1
2009	West South Central	Klebsiella pneumoniae	Carbapenems	421	1
2010	West South Central	Klebsiella pneumoniae	Carbapenems	293	0
2011	West South Central	Klebsiella pneumoniae	Carbapenems	210	1
2012	West South Central	Klebsiella pneumoniae	Carbapenems	95	4
1999	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	660	10
2000	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	698	12
2001	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	807	20
2002	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	591	15
2003	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	608	15
2004	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	845	17
2005	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	724	14
2006	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	599	16
2007	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	516	16
2008	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	559	40
2009	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	550	37
2010	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	555	38
2011	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	451	28
2012	East North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	139	28
1999	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	275	8
2000	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	208	19
2001	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	188	3
2002	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	218	22
2003	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	251	14
2004	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	284	8
2005	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	383	3
2006	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	142	11
2007	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	47	17
2008	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	51	10
2009	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	54	2
2010	East South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	38	0
1999	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	260	33
2000	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	441	31
2001	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	614	31
2002	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	562	25
2003	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	563	18
2004	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	761	22
2005	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	765	26
2006	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	754	27
2007	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	585	27
2008	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	649	28
2009	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	424	18
2010	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	332	23
2011	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	311	14
2012	Mid Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	168	21
1999	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	119	0
2000	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	142	7
2001	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	153	10
2002	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	199	25
2003	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	210	14
2004	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	245	26
2005	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	130	29
2006	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	69	36
2007	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	62	31
2010	Mountain	Klebsiella pneumoniae	Cephalosporins (3rd gen)	32	16
1999	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	87	7
2000	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	84	4
2001	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	62	6
2002	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	54	7
2003	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	64	0
2004	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	130	13
2005	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	223	20
2006	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	260	12
2007	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	273	13
2008	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	216	18
2009	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	119	4
2010	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	141	9
2011	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	131	4
2012	New England	Klebsiella pneumoniae	Cephalosporins (3rd gen)	66	11
1999	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	294	4
2000	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	430	3
2001	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	464	3
2002	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	518	4
2003	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	616	7
2004	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	718	6
2005	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	777	8
2006	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	746	7
2007	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	748	10
2008	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	695	12
2009	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	687	9
2010	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	667	8
2011	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	531	8
2012	Pacific	Klebsiella pneumoniae	Cephalosporins (3rd gen)	280	13
1999	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	501	6
2000	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	840	10
2001	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	965	15
2002	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	1103	11
2003	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	972	14
2004	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	1079	16
2005	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	1182	17
2006	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	1057	16
2007	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	918	18
2008	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	1004	22
2009	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	879	23
2010	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	783	21
2011	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	743	22
2012	South Atlantic	Klebsiella pneumoniae	Cephalosporins (3rd gen)	386	24
1999	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	115	16
2000	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	114	16
2001	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	156	10
2002	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	166	5
2003	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	271	11
2004	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	286	20
2005	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	318	18
2006	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	235	18
2007	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	312	17
2008	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	233	16
2009	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	265	12
2010	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	242	9
2011	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	226	17
2012	West North Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	100	7
1999	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	476	6
2000	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	437	7
2001	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	418	10
2002	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	439	10
2003	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	430	11
2004	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	462	8
2005	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	382	6
2006	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	456	8
2007	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	416	8
2008	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	402	6
2009	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	375	13
2010	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	249	16
2011	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	168	11
2012	West South Central	Klebsiella pneumoniae	Cephalosporins (3rd gen)	124	14
1999	East North Central	Klebsiella pneumoniae	Fluoroquinolones	679	6
2000	East North Central	Klebsiella pneumoniae	Fluoroquinolones	708	10
2001	East North Central	Klebsiella pneumoniae	Fluoroquinolones	802	11
2002	East North Central	Klebsiella pneumoniae	Fluoroquinolones	612	10
2003	East North Central	Klebsiella pneumoniae	Fluoroquinolones	625	14
2004	East North Central	Klebsiella pneumoniae	Fluoroquinolones	882	15
2005	East North Central	Klebsiella pneumoniae	Fluoroquinolones	737	12
2006	East North Central	Klebsiella pneumoniae	Fluoroquinolones	592	15
2007	East North Central	Klebsiella pneumoniae	Fluoroquinolones	516	15
2008	East North Central	Klebsiella pneumoniae	Fluoroquinolones	564	31
2009	East North Central	Klebsiella pneumoniae	Fluoroquinolones	552	26
2010	East North Central	Klebsiella pneumoniae	Fluoroquinolones	552	30
2011	East North Central	Klebsiella pneumoniae	Fluoroquinolones	501	25
2012	East North Central	Klebsiella pneumoniae	Fluoroquinolones	162	24
1999	East South Central	Klebsiella pneumoniae	Fluoroquinolones	279	11
2000	East South Central	Klebsiella pneumoniae	Fluoroquinolones	220	21
2001	East South Central	Klebsiella pneumoniae	Fluoroquinolones	192	8
2002	East South Central	Klebsiella pneumoniae	Fluoroquinolones	217	19
2003	East South Central	Klebsiella pneumoniae	Fluoroquinolones	251	14
2004	East South Central	Klebsiella pneumoniae	Fluoroquinolones	284	6
2005	East South Central	Klebsiella pneumoniae	Fluoroquinolones	382	7
2006	East South Central	Klebsiella pneumoniae	Fluoroquinolones	141	9
2007	East South Central	Klebsiella pneumoniae	Fluoroquinolones	47	9
2008	East South Central	Klebsiella pneumoniae	Fluoroquinolones	51	8
2009	East South Central	Klebsiella pneumoniae	Fluoroquinolones	54	4
2010	East South Central	Klebsiella pneumoniae	Fluoroquinolones	38	0
1999	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	266	20
2000	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	522	15
2001	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	734	18
2002	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	696	19
2003	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	704	14
2004	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	870	19
2005	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	847	26
2006	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	818	24
2007	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	651	21
2008	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	737	21
2009	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	469	15
2010	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	386	22
2011	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	344	14
2012	Mid Atlantic	Klebsiella pneumoniae	Fluoroquinolones	189	18
1999	Mountain	Klebsiella pneumoniae	Fluoroquinolones	138	4
2000	Mountain	Klebsiella pneumoniae	Fluoroquinolones	163	4
2001	Mountain	Klebsiella pneumoniae	Fluoroquinolones	197	8
2002	Mountain	Klebsiella pneumoniae	Fluoroquinolones	224	18
2003	Mountain	Klebsiella pneumoniae	Fluoroquinolones	240	15
2004	Mountain	Klebsiella pneumoniae	Fluoroquinolones	268	22
2005	Mountain	Klebsiella pneumoniae	Fluoroquinolones	157	21
2006	Mountain	Klebsiella pneumoniae	Fluoroquinolones	97	25
2007	Mountain	Klebsiella pneumoniae	Fluoroquinolones	76	33
2010	Mountain	Klebsiella pneumoniae	Fluoroquinolones	30	17
1999	New England	Klebsiella pneumoniae	Fluoroquinolones	87	5
2000	New England	Klebsiella pneumoniae	Fluoroquinolones	84	1
2001	New England	Klebsiella pneumoniae	Fluoroquinolones	62	2
2002	New England	Klebsiella pneumoniae	Fluoroquinolones	54	6
2003	New England	Klebsiella pneumoniae	Fluoroquinolones	64	0
2004	New England	Klebsiella pneumoniae	Fluoroquinolones	129	17
2005	New England	Klebsiella pneumoniae	Fluoroquinolones	224	24
2006	New England	Klebsiella pneumoniae	Fluoroquinolones	264	17
2007	New England	Klebsiella pneumoniae	Fluoroquinolones	282	16
2008	New England	Klebsiella pneumoniae	Fluoroquinolones	221	24
2009	New England	Klebsiella pneumoniae	Fluoroquinolones	125	14
2010	New England	Klebsiella pneumoniae	Fluoroquinolones	144	15
2011	New England	Klebsiella pneumoniae	Fluoroquinolones	134	9
2012	New England	Klebsiella pneumoniae	Fluoroquinolones	67	13
1999	Pacific	Klebsiella pneumoniae	Fluoroquinolones	358	6
2000	Pacific	Klebsiella pneumoniae	Fluoroquinolones	440	6
2001	Pacific	Klebsiella pneumoniae	Fluoroquinolones	462	2
2002	Pacific	Klebsiella pneumoniae	Fluoroquinolones	522	6
2003	Pacific	Klebsiella pneumoniae	Fluoroquinolones	630	10
2004	Pacific	Klebsiella pneumoniae	Fluoroquinolones	728	8
2005	Pacific	Klebsiella pneumoniae	Fluoroquinolones	783	9
2006	Pacific	Klebsiella pneumoniae	Fluoroquinolones	753	9
2007	Pacific	Klebsiella pneumoniae	Fluoroquinolones	752	9
2008	Pacific	Klebsiella pneumoniae	Fluoroquinolones	693	14
2009	Pacific	Klebsiella pneumoniae	Fluoroquinolones	681	14
2010	Pacific	Klebsiella pneumoniae	Fluoroquinolones	666	15
2011	Pacific	Klebsiella pneumoniae	Fluoroquinolones	531	15
2012	Pacific	Klebsiella pneumoniae	Fluoroquinolones	275	18
1999	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	639	6
2000	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	976	8
2001	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1064	13
2002	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1185	10
2003	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1112	12
2004	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1219	13
2005	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1320	13
2006	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1052	15
2007	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	917	14
2008	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	1001	17
2009	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	877	22
2010	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	783	19
2011	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	784	24
2012	South Atlantic	Klebsiella pneumoniae	Fluoroquinolones	408	25
1999	West North Central	Klebsiella pneumoniae	Fluoroquinolones	129	6
2000	West North Central	Klebsiella pneumoniae	Fluoroquinolones	156	5
2001	West North Central	Klebsiella pneumoniae	Fluoroquinolones	198	14
2002	West North Central	Klebsiella pneumoniae	Fluoroquinolones	223	5
2003	West North Central	Klebsiella pneumoniae	Fluoroquinolones	326	10
2004	West North Central	Klebsiella pneumoniae	Fluoroquinolones	345	19
2005	West North Central	Klebsiella pneumoniae	Fluoroquinolones	316	14
2006	West North Central	Klebsiella pneumoniae	Fluoroquinolones	235	11
2007	West North Central	Klebsiella pneumoniae	Fluoroquinolones	310	16
2008	West North Central	Klebsiella pneumoniae	Fluoroquinolones	233	14
2009	West North Central	Klebsiella pneumoniae	Fluoroquinolones	264	14
2010	West North Central	Klebsiella pneumoniae	Fluoroquinolones	240	12
2011	West North Central	Klebsiella pneumoniae	Fluoroquinolones	227	16
