drug_group	state	year	value
broad_spectrum_penicillin	Arizona	2003	210
broad_spectrum_penicillin	Arizona	2004	191
broad_spectrum_penicillin	Arizona	2005	245
broad_spectrum_penicillin	Arizona	2006	237
broad_spectrum_penicillin	Arizona	2007	217
broad_spectrum_penicillin	Arizona	2008	210
broad_spectrum_penicillin	Arizona	2009	205
broad_spectrum_penicillin	Arizona	2010	193
broad_spectrum_penicillin	Arizona	2011	234
broad_spectrum_penicillin	Arizona	2012	225
broad_spectrum_penicillin	Arkansas	1999	176
broad_spectrum_penicillin	Arkansas	2000	193
broad_spectrum_penicillin	Arkansas	2001	227
broad_spectrum_penicillin	Arkansas	2002	254
broad_spectrum_penicillin	Arkansas	2003	267
broad_spectrum_penicillin	Arkansas	2004	259
broad_spectrum_penicillin	Arkansas	2005	253
broad_spectrum_penicillin	Arkansas	2006	243
broad_spectrum_penicillin	Arkansas	2007	254
broad_spectrum_penicillin	Arkansas	2008	244
broad_spectrum_penicillin	Arkansas	2009	256
broad_spectrum_penicillin	Arkansas	2010	250
broad_spectrum_penicillin	Arkansas	2011	262
broad_spectrum_penicillin	Arkansas	2012	273
broad_spectrum_penicillin	California	1999	111
broad_spectrum_penicillin	California	2000	109
broad_spectrum_penicillin	California	2001	126
broad_spectrum_penicillin	California	2002	129
broad_spectrum_penicillin	California	2003	145
broad_spectrum_penicillin	California	2004	152
broad_spectrum_penicillin	California	2005	192
broad_spectrum_penicillin	California	2006	200
broad_spectrum_penicillin	California	2007	192
broad_spectrum_penicillin	California	2008	187
broad_spectrum_penicillin	California	2009	178
broad_spectrum_penicillin	California	2010	151
broad_spectrum_penicillin	California	2011	178
broad_spectrum_penicillin	California	2012	165
broad_spectrum_penicillin	Colorado	1999	192
broad_spectrum_penicillin	Colorado	2000	178
broad_spectrum_penicillin	Colorado	2001	192
broad_spectrum_penicillin	Colorado	2002	184
broad_spectrum_penicillin	Colorado	2003	194
broad_spectrum_penicillin	Colorado	2004	180
broad_spectrum_penicillin	Colorado	2005	203
broad_spectrum_penicillin	Colorado	2006	200
broad_spectrum_penicillin	Colorado	2007	197
broad_spectrum_penicillin	Colorado	2008	189
broad_spectrum_penicillin	Colorado	2009	185
broad_spectrum_penicillin	Colorado	2010	187
broad_spectrum_penicillin	Colorado	2011	194
broad_spectrum_penicillin	Colorado	2012	187
broad_spectrum_penicillin	Connecticut	1999	270
broad_spectrum_penicillin	Connecticut	2000	273
broad_spectrum_penicillin	Connecticut	2001	272
broad_spectrum_penicillin	Connecticut	2002	296
broad_spectrum_penicillin	Connecticut	2003	304
broad_spectrum_penicillin	Connecticut	2004	265
broad_spectrum_penicillin	Connecticut	2005	286
broad_spectrum_penicillin	Connecticut	2006	290
broad_spectrum_penicillin	Connecticut	2007	273
broad_spectrum_penicillin	Connecticut	2008	247
broad_spectrum_penicillin	Connecticut	2009	240
broad_spectrum_penicillin	Connecticut	2010	230
broad_spectrum_penicillin	Connecticut	2011	241
broad_spectrum_penicillin	Connecticut	2012	242
broad_spectrum_penicillin	Delaware	1999	213
broad_spectrum_penicillin	Delaware	2000	222
broad_spectrum_penicillin	Delaware	2001	231
broad_spectrum_penicillin	Delaware	2002	216
broad_spectrum_penicillin	Delaware	2003	237
broad_spectrum_penicillin	Delaware	2004	254
broad_spectrum_penicillin	Delaware	2005	315
broad_spectrum_penicillin	Delaware	2006	308
broad_spectrum_penicillin	Delaware	2007	296
broad_spectrum_penicillin	Delaware	2008	278
broad_spectrum_penicillin	Delaware	2009	292
broad_spectrum_penicillin	Delaware	2010	279
broad_spectrum_penicillin	Delaware	2011	293
broad_spectrum_penicillin	Delaware	2012	290
broad_spectrum_penicillin	District of Columbia	1999	263
broad_spectrum_penicillin	District of Columbia	2000	259
broad_spectrum_penicillin	District of Columbia	2001	263
broad_spectrum_penicillin	District of Columbia	2002	241
broad_spectrum_penicillin	District of Columbia	2003	241
broad_spectrum_penicillin	District of Columbia	2004	227
broad_spectrum_penicillin	District of Columbia	2005	244
broad_spectrum_penicillin	District of Columbia	2006	243
broad_spectrum_penicillin	District of Columbia	2007	240
broad_spectrum_penicillin	District of Columbia	2008	242
broad_spectrum_penicillin	District of Columbia	2009	248
broad_spectrum_penicillin	District of Columbia	2010	244
broad_spectrum_penicillin	District of Columbia	2011	184
broad_spectrum_penicillin	District of Columbia	2012	182
broad_spectrum_penicillin	Florida	1999	233
broad_spectrum_penicillin	Florida	2000	250
broad_spectrum_penicillin	Florida	2001	252
broad_spectrum_penicillin	Florida	2002	247
broad_spectrum_penicillin	Florida	2003	245
broad_spectrum_penicillin	Florida	2004	223
broad_spectrum_penicillin	Florida	2005	253
broad_spectrum_penicillin	Florida	2006	251
broad_spectrum_penicillin	Florida	2007	229
broad_spectrum_penicillin	Florida	2008	205
broad_spectrum_penicillin	Florida	2009	187
broad_spectrum_penicillin	Florida	2010	160
broad_spectrum_penicillin	Florida	2011	206
broad_spectrum_penicillin	Florida	2012	200
broad_spectrum_penicillin	Georgia	1999	273
broad_spectrum_penicillin	Georgia	2000	271
broad_spectrum_penicillin	Georgia	2001	276
broad_spectrum_penicillin	Georgia	2002	277
broad_spectrum_penicillin	Georgia	2003	292
broad_spectrum_penicillin	Georgia	2004	268
broad_spectrum_penicillin	Georgia	2005	291
broad_spectrum_penicillin	Georgia	2006	284
broad_spectrum_penicillin	Georgia	2007	266
broad_spectrum_penicillin	Georgia	2008	246
broad_spectrum_penicillin	Georgia	2009	252
broad_spectrum_penicillin	Georgia	2010	252
broad_spectrum_penicillin	Georgia	2011	253
broad_spectrum_penicillin	Georgia	2012	258
broad_spectrum_penicillin	Hawaii	1999	118
broad_spectrum_penicillin	Hawaii	2000	127
broad_spectrum_penicillin	Hawaii	2001	150
broad_spectrum_penicillin	Hawaii	2002	177
broad_spectrum_penicillin	Hawaii	2003	195
broad_spectrum_penicillin	Hawaii	2004	188
broad_spectrum_penicillin	Hawaii	2005	193
broad_spectrum_penicillin	Hawaii	2006	198
broad_spectrum_penicillin	Hawaii	2007	188
broad_spectrum_penicillin	Hawaii	2008	190
broad_spectrum_penicillin	Hawaii	2009	164
broad_spectrum_penicillin	Hawaii	2010	116
broad_spectrum_penicillin	Hawaii	2011	179
broad_spectrum_penicillin	Hawaii	2012	178
broad_spectrum_penicillin	Idaho	1999	138
broad_spectrum_penicillin	Idaho	2000	149
broad_spectrum_penicillin	Idaho	2001	172
broad_spectrum_penicillin	Idaho	2002	197
broad_spectrum_penicillin	Idaho	2003	209
broad_spectrum_penicillin	Idaho	2004	191
broad_spectrum_penicillin	Idaho	2005	236
broad_spectrum_penicillin	Idaho	2006	227
broad_spectrum_penicillin	Idaho	2007	221
broad_spectrum_penicillin	Idaho	2008	211
broad_spectrum_penicillin	Idaho	2009	214
broad_spectrum_penicillin	Idaho	2010	214
broad_spectrum_penicillin	Idaho	2011	229
broad_spectrum_penicillin	Idaho	2012	219
